,ITTER107,Territorio,Tipo di coltivazione,Value
12,ITC1,Piemonte,radicchio in serra,1692
30,ITC3,Liguria,radicchio in serra,600
42,ITC4,Lombardia,radicchio in serra,19280
78,ITD3,Veneto,radicchio in serra,15805
114,ITD5,Emilia-Romagna,radicchio in serra,1870
147,ITE1,Toscana,radicchio in serra,1011
177,ITE2,Umbria,radicchio in serra,70
189,ITE3,Marche,radicchio in serra,32
207,ITE4,Lazio,radicchio in serra,9200
234,ITF3,Campania,radicchio in serra,16900
258,ITF6,Calabria,radicchio in serra,470
276,ITG1,Sicilia,radicchio in serra,600
288,ITG2,Sardegna,radicchio in serra,4000
344,ITC1,Piemonte,sedano in piena aria,26490
380,ITC4,Lombardia,sedano in piena aria,3300
398,ITD3,Veneto,sedano in piena aria,10500
431,ITD5,Emilia-Romagna,sedano in piena aria,111340
467,ITE1,Toscana,sedano in piena aria,2830
506,ITE3,Marche,sedano in piena aria,5169
530,ITE4,Lazio,sedano in piena aria,4830
560,ITF1,Abruzzo,sedano in piena aria,39400
578,ITF3,Campania,sedano in piena aria,18500
590,ITF4,Puglia,sedano in piena aria,523425
626,ITF5,Basilicata,sedano in piena aria,59947
644,ITF6,Calabria,sedano in piena aria,2120
662,ITG1,Sicilia,sedano in piena aria,12885
698,ITG2,Sardegna,sedano in piena aria,102420
725,ITC1,Piemonte,cavolo cappuccio in piena aria,4648
749,ITC3,Liguria,cavolo cappuccio in piena aria,3640
773,ITD3,Veneto,cavolo cappuccio in piena aria,160000
821,ITD4,Friuli-Venezia Giulia,cavolo cappuccio in piena aria,4574
851,ITD5,Emilia-Romagna,cavolo cappuccio in piena aria,17310
878,ITE1,Toscana,cavolo cappuccio in piena aria,17783
929,ITE2,Umbria,cavolo cappuccio in piena aria,5375
947,ITE3,Marche,cavolo cappuccio in piena aria,22085
977,ITE4,Lazio,cavolo cappuccio in piena aria,43295
1010,ITF1,Abruzzo,cavolo cappuccio in piena aria,34680
1040,ITF2,Molise,cavolo cappuccio in piena aria,7500
1058,ITF3,Campania,cavolo cappuccio in piena aria,54693
1094,ITF4,Puglia,cavolo cappuccio in piena aria,249800
1130,ITF5,Basilicata,cavolo cappuccio in piena aria,43407
1148,ITF6,Calabria,cavolo cappuccio in piena aria,63912
1178,ITG1,Sicilia,cavolo cappuccio in piena aria,30750
1214,ITG2,Sardegna,cavolo cappuccio in piena aria,167980
1253,ITC1,Piemonte,cavolo di bruxelles in piena aria,2090
1271,ITC3,Liguria,cavolo di bruxelles in piena aria,11680
1292,ITE1,Toscana,cavolo di bruxelles in piena aria,2425
1322,ITE3,Marche,cavolo di bruxelles in piena aria,459
1334,ITE4,Lazio,cavolo di bruxelles in piena aria,960
1349,ITF2,Molise,cavolo di bruxelles in piena aria,2250
1361,ITF3,Campania,cavolo di bruxelles in piena aria,8000
1373,ITF4,Puglia,cavolo di bruxelles in piena aria,3800
1385,ITF5,Basilicata,cavolo di bruxelles in piena aria,6250
1397,ITF6,Calabria,cavolo di bruxelles in piena aria,12195
1430,ITC1,Piemonte,cavolo verza in piena aria,86899
1478,ITC3,Liguria,cavolo verza in piena aria,3060
1496,ITC4,Lombardia,cavolo verza in piena aria,62834
1550,ITD3,Veneto,cavolo verza in piena aria,15876
1595,ITD4,Friuli-Venezia Giulia,cavolo verza in piena aria,1250
1625,ITD5,Emilia-Romagna,cavolo verza in piena aria,15670
1658,ITE1,Toscana,cavolo verza in piena aria,54560
1715,ITE2,Umbria,cavolo verza in piena aria,8720
1733,ITE3,Marche,cavolo verza in piena aria,93878
1763,ITE4,Lazio,cavolo verza in piena aria,45090
1802,ITF1,Abruzzo,cavolo verza in piena aria,131940
1832,ITF2,Molise,cavolo verza in piena aria,7200
1850,ITF3,Campania,cavolo verza in piena aria,69498
1886,ITF4,Puglia,cavolo verza in piena aria,279510
1922,ITF5,Basilicata,cavolo verza in piena aria,37241
1940,ITF6,Calabria,cavolo verza in piena aria,65342
1964,ITG1,Sicilia,cavolo verza in piena aria,20300
1994,ITG2,Sardegna,cavolo verza in piena aria,7463
2034,ITC1,Piemonte,peperone in serra,66875
2076,ITC3,Liguria,peperone in serra,440
2094,ITC4,Lombardia,peperone in serra,6040
2142,ITD3,Veneto,peperone in serra,140530
2184,ITD4,Friuli-Venezia Giulia,peperone in serra,310
2196,ITD5,Emilia-Romagna,peperone in serra,5460
2244,ITE1,Toscana,peperone in serra,1545
2286,ITE2,Umbria,peperone in serra,7800
2298,ITE3,Marche,peperone in serra,2583
2328,ITE4,Lazio,peperone in serra,72900
2358,ITF1,Abruzzo,peperone in serra,1088
2382,ITF3,Campania,peperone in serra,221968
2406,ITF4,Puglia,peperone in serra,17610
2430,ITF5,Basilicata,peperone in serra,480
2442,ITF6,Calabria,peperone in serra,14036
2478,ITG1,Sicilia,peperone in serra,193270
2532,ITG2,Sardegna,peperone in serra,10471
2588,ITC1,Piemonte,cetriolo da mensa in piena aria,1750
2600,ITC4,Lombardia,cetriolo da mensa in piena aria,2051
2624,ITD3,Veneto,cetriolo da mensa in piena aria,1892
2645,ITD4,Friuli-Venezia Giulia,cetriolo da mensa in piena aria,983
2663,ITD5,Emilia-Romagna,cetriolo da mensa in piena aria,10640
