,ITTER107,Territorio,TIPO_DATO5,Tipo variabile,AGRI_MADRE,Tipo di coltivazione,TIME,Seleziona periodo,Value
12,ITC1,Piemonte,HP_Q_EXT,produzione raccolta - quintali ,RADIINGRE,radicchio in serra,2018,2018,1692
30,ITC3,Liguria,HP_Q_EXT,produzione raccolta - quintali ,RADIINGRE,radicchio in serra,2018,2018,600
42,ITC4,Lombardia,HP_Q_EXT,produzione raccolta - quintali ,RADIINGRE,radicchio in serra,2018,2018,19280
78,ITD3,Veneto,HP_Q_EXT,produzione raccolta - quintali ,RADIINGRE,radicchio in serra,2018,2018,15805
114,ITD5,Emilia-Romagna,HP_Q_EXT,produzione raccolta - quintali ,RADIINGRE,radicchio in serra,2018,2018,1870
147,ITE1,Toscana,HP_Q_EXT,produzione raccolta - quintali ,RADIINGRE,radicchio in serra,2018,2018,1011
177,ITE2,Umbria,HP_Q_EXT,produzione raccolta - quintali ,RADIINGRE,radicchio in serra,2018,2018,70
189,ITE3,Marche,HP_Q_EXT,produzione raccolta - quintali ,RADIINGRE,radicchio in serra,2018,2018,32
207,ITE4,Lazio,HP_Q_EXT,produzione raccolta - quintali ,RADIINGRE,radicchio in serra,2018,2018,9200
234,ITF3,Campania,HP_Q_EXT,produzione raccolta - quintali ,RADIINGRE,radicchio in serra,2018,2018,16900
258,ITF6,Calabria,HP_Q_EXT,produzione raccolta - quintali ,RADIINGRE,radicchio in serra,2018,2018,470
276,ITG1,Sicilia,HP_Q_EXT,produzione raccolta - quintali ,RADIINGRE,radicchio in serra,2018,2018,600
288,ITG2,Sardegna,HP_Q_EXT,produzione raccolta - quintali ,RADIINGRE,radicchio in serra,2018,2018,4000
344,ITC1,Piemonte,HP_Q_EXT,produzione raccolta - quintali ,CELEOPENF,sedano in piena aria,2018,2018,26490
380,ITC4,Lombardia,HP_Q_EXT,produzione raccolta - quintali ,CELEOPENF,sedano in piena aria,2018,2018,3300
398,ITD3,Veneto,HP_Q_EXT,produzione raccolta - quintali ,CELEOPENF,sedano in piena aria,2018,2018,10500
431,ITD5,Emilia-Romagna,HP_Q_EXT,produzione raccolta - quintali ,CELEOPENF,sedano in piena aria,2018,2018,111340
467,ITE1,Toscana,HP_Q_EXT,produzione raccolta - quintali ,CELEOPENF,sedano in piena aria,2018,2018,2830
506,ITE3,Marche,HP_Q_EXT,produzione raccolta - quintali ,CELEOPENF,sedano in piena aria,2018,2018,5169
530,ITE4,Lazio,HP_Q_EXT,produzione raccolta - quintali ,CELEOPENF,sedano in piena aria,2018,2018,4830
560,ITF1,Abruzzo,HP_Q_EXT,produzione raccolta - quintali ,CELEOPENF,sedano in piena aria,2018,2018,39400
578,ITF3,Campania,HP_Q_EXT,produzione raccolta - quintali ,CELEOPENF,sedano in piena aria,2018,2018,18500
590,ITF4,Puglia,HP_Q_EXT,produzione raccolta - quintali ,CELEOPENF,sedano in piena aria,2018,2018,523425
626,ITF5,Basilicata,HP_Q_EXT,produzione raccolta - quintali ,CELEOPENF,sedano in piena aria,2018,2018,59947
644,ITF6,Calabria,HP_Q_EXT,produzione raccolta - quintali ,CELEOPENF,sedano in piena aria,2018,2018,2120
662,ITG1,Sicilia,HP_Q_EXT,produzione raccolta - quintali ,CELEOPENF,sedano in piena aria,2018,2018,12885
698,ITG2,Sardegna,HP_Q_EXT,produzione raccolta - quintali ,CELEOPENF,sedano in piena aria,2018,2018,102420
725,ITC1,Piemonte,HP_Q_EXT,produzione raccolta - quintali ,CABBNOPEN,cavolo cappuccio in piena aria,2018,2018,4648
749,ITC3,Liguria,HP_Q_EXT,produzione raccolta - quintali ,CABBNOPEN,cavolo cappuccio in piena aria,2018,2018,3640
773,ITD3,Veneto,HP_Q_EXT,produzione raccolta - quintali ,CABBNOPEN,cavolo cappuccio in piena aria,2018,2018,160000
821,ITD4,Friuli-Venezia Giulia,HP_Q_EXT,produzione raccolta - quintali ,CABBNOPEN,cavolo cappuccio in piena aria,2018,2018,4574
851,ITD5,Emilia-Romagna,HP_Q_EXT,produzione raccolta - quintali ,CABBNOPEN,cavolo cappuccio in piena aria,2018,2018,17310
878,ITE1,Toscana,HP_Q_EXT,produzione raccolta - quintali ,CABBNOPEN,cavolo cappuccio in piena aria,2018,2018,17783
929,ITE2,Umbria,HP_Q_EXT,produzione raccolta - quintali ,CABBNOPEN,cavolo cappuccio in piena aria,2018,2018,5375
947,ITE3,Marche,HP_Q_EXT,produzione raccolta - quintali ,CABBNOPEN,cavolo cappuccio in piena aria,2018,2018,22085
977,ITE4,Lazio,HP_Q_EXT,produzione raccolta - quintali ,CABBNOPEN,cavolo cappuccio in piena aria,2018,2018,43295
1010,ITF1,Abruzzo,HP_Q_EXT,produzione raccolta - quintali ,CABBNOPEN,cavolo cappuccio in piena aria,2018,2018,34680
1040,ITF2,Molise,HP_Q_EXT,produzione raccolta - quintali ,CABBNOPEN,cavolo cappuccio in piena aria,2018,2018,7500
1058,ITF3,Campania,HP_Q_EXT,produzione raccolta - quintali ,CABBNOPEN,cavolo cappuccio in piena aria,2018,2018,54693
1094,ITF4,Puglia,HP_Q_EXT,produzione raccolta - quintali ,CABBNOPEN,cavolo cappuccio in piena aria,2018,2018,249800
1130,ITF5,Basilicata,HP_Q_EXT,produzione raccolta - quintali ,CABBNOPEN,cavolo cappuccio in piena aria,2018,2018,43407
1148,ITF6,Calabria,HP_Q_EXT,produzione raccolta - quintali ,CABBNOPEN,cavolo cappuccio in piena aria,2018,2018,63912
1178,ITG1,Sicilia,HP_Q_EXT,produzione raccolta - quintali ,CABBNOPEN,cavolo cappuccio in piena aria,2018,2018,30750
1214,ITG2,Sardegna,HP_Q_EXT,produzione raccolta - quintali ,CABBNOPEN,cavolo cappuccio in piena aria,2018,2018,167980
1253,ITC1,Piemonte,HP_Q_EXT,produzione raccolta - quintali ,BRUSSPROUTS,cavolo di bruxelles in piena aria,2018,2018,2090
1271,ITC3,Liguria,HP_Q_EXT,produzione raccolta - quintali ,BRUSSPROUTS,cavolo di bruxelles in piena aria,2018,2018,11680
1292,ITE1,Toscana,HP_Q_EXT,produzione raccolta - quintali ,BRUSSPROUTS,cavolo di bruxelles in piena aria,2018,2018,2425
1322,ITE3,Marche,HP_Q_EXT,produzione raccolta - quintali ,BRUSSPROUTS,cavolo di bruxelles in piena aria,2018,2018,459
1334,ITE4,Lazio,HP_Q_EXT,produzione raccolta - quintali ,BRUSSPROUTS,cavolo di bruxelles in piena aria,2018,2018,960
1349,ITF2,Molise,HP_Q_EXT,produzione raccolta - quintali ,BRUSSPROUTS,cavolo di bruxelles in piena aria,2018,2018,2250
1361,ITF3,Campania,HP_Q_EXT,produzione raccolta - quintali ,BRUSSPROUTS,cavolo di bruxelles in piena aria,2018,2018,8000
1373,ITF4,Puglia,HP_Q_EXT,produzione raccolta - quintali ,BRUSSPROUTS,cavolo di bruxelles in piena aria,2018,2018,3800
1385,ITF5,Basilicata,HP_Q_EXT,produzione raccolta - quintali ,BRUSSPROUTS,cavolo di bruxelles in piena aria,2018,2018,6250
1397,ITF6,Calabria,HP_Q_EXT,produzione raccolta - quintali ,BRUSSPROUTS,cavolo di bruxelles in piena aria,2018,2018,12195
1430,ITC1,Piemonte,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,86899
1478,ITC3,Liguria,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,3060
1496,ITC4,Lombardia,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,62834
1550,ITD3,Veneto,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,15876
1595,ITD4,Friuli-Venezia Giulia,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,1250
1625,ITD5,Emilia-Romagna,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,15670
1658,ITE1,Toscana,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,54560
1715,ITE2,Umbria,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,8720
1733,ITE3,Marche,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,93878
1763,ITE4,Lazio,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,45090
1802,ITF1,Abruzzo,HP_Q_EXT,produzione raccolta - quintali ,SAVOBAGEIN,cavolo verza in piena aria,2018,2018,131940
